modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
10453,2020-01,1766,321,67,643,82,21,3,0,2,2,21,0,5,107,643,67,5,5,291,8,12,31,41,21,39,62,15,27,3,509,1070,75,82
10454,2020-01,770,231,48,146,36,2,3,0,2,1,8,0,9,10,146,48,16,22,170,7,16,8,17,15,46,20,4,10,3,291,316,72,78
10455,2020-01,914,163,35,291,41,16,0,0,1,5,14,0,8,38,291,35,3,13,127,15,5,8,15,21,47,20,11,29,0,248,445,90,102
10456,2020-01,2117,702,80,560,103,35,2,0,0,0,9,0,9,101,560,80,15,7,375,289,16,33,46,49,27,81,9,46,2,898,999,118,54
10457,2020-01,2568,370,79,1274,110,19,5,0,1,6,16,0,10,82,1274,79,14,15,306,27,8,50,55,68,32,71,27,40,5,546,1731,168,78
10458,2020-01,1907,324,43,761,91,26,2,0,2,5,12,0,2,104,761,43,9,14,269,21,11,37,41,45,49,74,11,42,2,476,1175,107,105
10459,2020-01,1112,180,22,359,54,17,8,0,0,3,33,0,7,73,359,22,9,3,133,29,6,10,24,40,42,30,12,27,8,285,581,111,100
10460,2020-01,1595,344,62,471,64,17,4,0,3,2,28,0,13,95,471,62,8,3,284,43,6,26,33,52,43,46,13,33,4,527,795,145,91
10461,2020-01,1558,157,220,221,82,7,7,0,0,3,82,0,70,145,221,220,20,7,113,8,9,9,9,81,69,40,19,21,7,585,503,219,223
10462,2020-01,1634,228,81,559,45,14,3,0,0,8,65,0,24,110,559,81,18,0,187,20,3,18,26,68,42,18,11,33,3,436,833,155,174
